Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,DateKey
100002402,Jack,Lambert,Male,47,England,White Collar,01.Oct.15,8964.65,10/1/2015
100002403,Gavin,Lyman,Male,33,England,White Collar,01.Oct.15,13036.35,10/1/2015
100002404,Sean,Duncan,Male,43,England,White Collar,01.Oct.15,31840.24,10/1/2015
100002405,Katherine,Hudson,Female,34,England,White Collar,01.Oct.15,48696.83,10/1/2015
100002406,Grace,Ince,Female,32,England,White Collar,01.Oct.15,31675.17,10/1/2015
100002407,Gordon,Ball,Male,34,England,Blue Collar,01.Oct.15,21360.89,10/1/2015
100002408,Oliver,Short,Male,29,England,White Collar,01.Oct.15,5564.99,10/1/2015
200002409,Alan,Peters,Male,53,Scotland,Blue Collar,01.Oct.15,43276.26,10/1/2015
200002410,Anthony,Robertson,Male,52,Scotland,Blue Collar,01.Oct.15,47271.67,10/1/2015
200002411,Angela,Paterson,Female,56,Scotland,Other,01.Oct.15,10029.71,10/1/2015
200002412,David,Parsons,Male,54,Scotland,Blue Collar,01.Oct.15,34987.42,10/1/2015
200002413,Lillian,Payne,Female,51,Scotland,Other,01.Oct.15,5467.19,10/1/2015
100002414,Luke,Grant,Male,37,England,White Collar,02.Oct.15,28809.98,10/2/2015
100002415,Sue,King,Female,41,England,Other,02.Oct.15,19938.81,10/2/2015
100002416,Sophie,Nash,Female,32,England,White Collar,02.Oct.15,50111.16,10/2/2015
100002417,Anna,Campbell,Female,34,England,White Collar,02.Oct.15,24006.93,10/2/2015
100002418,Oliver,Hunter,Male,38,England,Other,02.Oct.15,59261.81,10/2/2015
100002419,Diane,Ellison,Female,33,England,White Collar,02.Oct.15,46035.81,10/2/2015
100002420,Molly,Grant,Female,42,England,White Collar,02.Oct.15,14989.3,10/2/2015
100002421,Richard,Avery,Male,28,England,White Collar,02.Oct.15,14448.61,10/2/2015
100002422,Benjamin,Newman,Male,28,England,White Collar,02.Oct.15,23076.43,10/2/2015
100002423,Brandon,Vaughan,Male,33,England,White Collar,02.Oct.15,48286.35,10/2/2015
100002424,Wendy,Clarkson,Female,41,England,Blue Collar,02.Oct.15,964.1,10/2/2015
100002425,Colin,Lyman,Male,31,England,Blue Collar,02.Oct.15,79314.11,10/2/2015
200002426,Gavin,McLean,Male,48,Scotland,Blue Collar,02.Oct.15,54817.88,10/2/2015
200002427,Stephanie,Randall,Female,40,Scotland,Other,02.Oct.15,36530.74,10/2/2015
300002428,Keith,Underwood,Male,36,Wales,White Collar,02.Oct.15,23291.89,10/2/2015
100002429,Diana,Alsop,Female,43,England,White Collar,03.Oct.15,42972.72,10/3/2015
100002430,Tim,Hunter,Male,36,England,White Collar,03.Oct.15,22675.26,10/3/2015
100002431,Julian,Lambert,Male,40,England,White Collar,03.Oct.15,12622.63,10/3/2015
100002432,Wanda,Bell,Female,43,England,White Collar,03.Oct.15,23251.07,10/3/2015
100002433,Fiona,Lambert,Female,45,England,White Collar,03.Oct.15,53536.19,10/3/2015
100002434,Alexander,Nash,Male,32,England,White Collar,03.Oct.15,16127.3,10/3/2015
100002435,Boris,Arnold,Male,36,England,White Collar,03.Oct.15,43882.44,10/3/2015
100002436,Sean,Mitchell,Male,40,England,White Collar,03.Oct.15,7741.38,10/3/2015
100002437,Phil,Jackson,Male,33,England,White Collar,03.Oct.15,39625,10/3/2015
100002438,Grace,Hardacre,Female,30,England,White Collar,03.Oct.15,138086.22,10/3/2015
100002439,Eric,Smith,Male,42,England,White Collar,03.Oct.15,32973.73,10/3/2015
100002440,Bella,Bower,Female,28,England,White Collar,03.Oct.15,76304.75,10/3/2015
200002441,Justin,Knox,Male,26,Scotland,Blue Collar,03.Oct.15,69903.96,10/3/2015
200002442,Blake,Forsyth,Male,52,Scotland,Blue Collar,03.Oct.15,40011.42,10/3/2015
200002443,John,Mathis,Male,58,Scotland,Blue Collar,03.Oct.15,31082.12,10/3/2015
200002444,Christian,Graham,Male,47,Scotland,Other,03.Oct.15,87669.32,10/3/2015
200002445,Carolyn,Cornish,Female,48,Scotland,Other,03.Oct.15,12405.42,10/3/2015
200002446,Christian,Davidson,Male,50,Scotland,Blue Collar,03.Oct.15,21885.91,10/3/2015
200002447,Justin,Sanderson,Male,58,Scotland,Blue Collar,03.Oct.15,13230.47,10/3/2015
300002448,Stephen,Piper,Male,41,Wales,Blue Collar,03.Oct.15,32837.02,10/3/2015
100002449,John,MacDonald,Male,27,England,Blue Collar,04.Oct.15,7385.38,10/4/2015
100002450,Amy,Hill,Female,42,England,Other,04.Oct.15,10562.39,10/4/2015
100002451,Warren,Metcalfe,Male,41,England,White Collar,04.Oct.15,54256.9,10/4/2015
100002452,Rebecca,Gill,Female,25,England,Blue Collar,04.Oct.15,5490.74,10/4/2015
100002453,Wendy,Skinner,Female,34,England,White Collar,04.Oct.15,10594.11,10/4/2015
100002454,Connor,Short,Male,47,England,White Collar,04.Oct.15,53788.44,10/4/2015
100002455,Ruth,Chapman,Female,28,England,White Collar,04.Oct.15,19866.92,10/4/2015
