Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance,DateKey
100000124,John,Black,Male,39,England,Other,01.Apr.15,111149.47,4/1/2015
100000125,Jonathan,MacDonald,Male,27,England,White Collar,01.Apr.15,12312.49,4/1/2015
100000126,Benjamin,Blake,Male,42,England,White Collar,01.Apr.15,55661.5,4/1/2015
100000127,Emma,Fraser,Female,27,England,White Collar,01.Apr.15,10481.48,4/1/2015
100000128,Virginia,Berry,Female,41,England,White Collar,01.Apr.15,4347.79,4/1/2015
100000129,Peter,Pullman,Male,47,England,White Collar,01.Apr.15,15093.04,4/1/2015
100000130,Alison,MacLeod,Female,27,England,White Collar,01.Apr.15,27738.77,4/1/2015
100000131,Anna,Wright,Female,41,England,White Collar,01.Apr.15,27557.08,4/1/2015
100000132,James,Marshall,Male,20,England,Blue Collar,01.Apr.15,9578.65,4/1/2015
100000133,Ruth,Bower,Female,38,England,White Collar,02.Apr.15,40456.97,4/2/2015
100000134,Owen,Powell,Male,34,England,Blue Collar,02.Apr.15,44744.24,4/2/2015
100000135,Piers,King,Male,42,England,White Collar,02.Apr.15,56652.56,4/2/2015
100000136,Christopher,Mackenzie,Male,26,England,White Collar,02.Apr.15,12994.18,4/2/2015
100000137,Sarah,Wallace,Female,43,England,White Collar,02.Apr.15,42207.46,4/2/2015
100000138,Richard,Hemmings,Male,37,England,White Collar,02.Apr.15,10704.25,4/2/2015
100000139,Nicola,Rampling,Female,40,England,White Collar,02.Apr.15,57140.07,4/2/2015
200000140,Keith,Harris,Male,57,Scotland,Blue Collar,02.Apr.15,40510.36,4/2/2015
100000141,Angela,Wright,Female,45,England,White Collar,03.Apr.15,36584.21,4/3/2015
100000142,Sam,Russell,Male,23,England,White Collar,03.Apr.15,10249.56,4/3/2015
100000143,Luke,Ball,Male,45,England,Other,03.Apr.15,40379.31,4/3/2015
100000144,Sean,Bell,Male,26,England,White Collar,03.Apr.15,4539.24,4/3/2015
100000145,Steven,Ball,Male,37,England,White Collar,04.Apr.15,89120.92,4/4/2015
100000146,Andrew,Gray,Male,41,England,White Collar,05.Apr.15,51707.8,4/5/2015
100000147,Jacob,Metcalfe,Male,33,England,White Collar,05.Apr.15,4940.82,4/5/2015
100000148,Madeleine,Ogden,Female,37,England,White Collar,05.Apr.15,48405.93,4/5/2015
100000149,Dylan,Davies,Male,33,England,White Collar,05.Apr.15,32467.1,4/5/2015
100000150,Michelle,Lee,Female,29,England,White Collar,05.Apr.15,4020.51,4/5/2015
